"org","desc","variable","value","treatment","replicate","times"
"KN","Chromosome","X9",0.863850735611883,"4d","a",4
"KN","Membrane transport","X9",1.10341782379136,"4d","a",4
"KN","Signal transduction","X9",9.14864433212454,"4d","a",4
"KN","Signaling molecules and interaction","X9",0.16346930722835,"4d","a",4
"KN","Transport and catabolism","X9",13.5308430882546,"4d","a",4
"KN","Cell motility","X9",10.9125157362695,"4d","a",4
"KN","Cell growth and death","X9",14.547828864546,"4d","a",4
"KN","Carbohydrate metabolism","X10",8.4331841797579,"4d","b",4
"KN","Energy metabolism","X10",10.7513647991701,"4d","b",4
"KN","Lipid metabolism","X10",1.94456409940837,"4d","b",4
"KN","Nucleotide metabolism","X10",1.17887000782397,"4d","b",4
"KN","Amino acid metabolism","X10",5.03107610348738,"4d","b",4
"KN","Metabolism of other amino acids","X10",0.910745211115311,"4d","b",4
"KN","Glycan biosynthesis and metabolism","X10",0.731409281513455,"4d","b",4
"KN","Metabolism of cofactors and vitamins","X10",2.79904705809957,"4d","b",4
"KN","Transcription","X10",2.00170544952661,"4d","b",4
"KN","Translation","X10",21.0280168435118,"4d","b",4
"KN","Folding, sorting and degradation","X10",7.76155354144506,"4d","b",4
"KN","Replication and repair","X10",1.18941918015349,"4d","b",4
"KN","Chromosome","X10",0.853164312150009,"4d","b",4
"KN","Membrane transport","X10",1.15601346777667,"4d","b",4
"KN","Signal transduction","X10",9.19843872249523,"4d","b",4
"KN","Signaling molecules and interaction","X10",0.132304202966076,"4d","b",4
"KN","Transport and catabolism","X10",15.9534254041652,"4d","b",4
"KN","Cell motility","X10",12.84537550658,"4d","b",4
"KN","Cell growth and death","X10",15.9674909672712,"4d","b",4
"KN","Carbohydrate metabolism","X11",7.55754756533371,"4d","c",4
"KN","Energy metabolism","X11",8.72447044261215,"4d","c",4
"KN","Lipid metabolism","X11",1.90028416086034,"4d","c",4
"KN","Nucleotide metabolism","X11",0.982917074274458,"4d","c",4
"KN","Amino acid metabolism","X11",3.87776424630824,"4d","c",4
"KN","Metabolism of other amino acids","X11",0.755322193162837,"4d","c",4
"KN","Glycan biosynthesis and metabolism","X11",0.71905341824885,"4d","c",4
"KN","Metabolism of cofactors and vitamins","X11",2.17080263797108,"4d","c",4
"KN","Transcription","X11",2.33950235247925,"4d","c",4
"KN","Translation","X11",21.940279635582,"4d","c",4
"KN","Folding, sorting and degradation","X11",8.57906260190195,"4d","c",4
"KN","Replication and repair","X11",1.48635428936493,"4d","c",4
"KN","Chromosome","X11",0.919363532911418,"4d","c",4
"KN","Membrane transport","X11",1.29402996000453,"4d","c",4
"KN","Signal transduction","X11",9.3473616961808,"4d","c",4
"KN","Signaling molecules and interaction","X11",0.148069769144257,"4d","c",4
"KN","Transport and catabolism","X11",14.2186907304997,"4d","c",4
"KN","Cell motility","X11",11.1857560209494,"4d","c",4
"KN","Cell growth and death","X11",14.5893642649417,"4d","c",4
"KN","Carbohydrate metabolism","X12",9.83756877128635,"Starved","a",0
"KN","Energy metabolism","X12",12.8509756125343,"Starved","a",0
"KN","Lipid metabolism","X12",1.59868323632263,"Starved","a",0
"KN","Nucleotide metabolism","X12",0.894169106172614,"Starved","a",0
"KN","Amino acid metabolism","X12",3.76860953856318,"Starved","a",0
"KN","Metabolism of other amino acids","X12",0.779123144741488,"Starved","a",0
"KN","Glycan biosynthesis and metabolism","X12",0.588329099793829,"Starved","a",0
"KN","Metabolism of cofactors and vitamins","X12",2.4751967741568,"Starved","a",0
"KN","Transcription","X12",2.43532936177968,"Starved","a",0
"KN","Translation","X12",18.2382020936087,"Starved","a",0
"KN","Folding, sorting and degradation","X12",9.90135663108975,"Starved","a",0
"KN","Replication and repair","X12",1.63968971762481,"Starved","a",0
"KN","Chromosome","X12",0.971625793076739,"Starved","a",0
"KN","Membrane transport","X12",1.13337358043535,"Starved","a",0
"KN","Signal transduction","X12",10.9065849574558,"Starved","a",0
"KN","Signaling molecules and interaction","X12",0.165164994133795,"Starved","a",0
"KN","Transport and catabolism","X12",14.8967434019433,"Starved","a",0
"KN","Cell motility","X12",10.319394926587,"Starved","a",0
"KN","Cell growth and death","X12",13.3903247485505,"Starved","a",0
"KN","Carbohydrate metabolism","X13",10.2434336599207,"Starved","b",0
"KN","Energy metabolism","X13",12.9620889462581,"Starved","b",0
"KN","Lipid metabolism","X13",1.57853735094593,"Starved","b",0
"KN","Nucleotide metabolism","X13",0.792111862344264,"Starved","b",0
"KN","Amino acid metabolism","X13",3.60459231543452,"Starved","b",0
"KN","Metabolism of other amino acids","X13",0.736385399666779,"Starved","b",0
"KN","Glycan biosynthesis and metabolism","X13",0.571480561131361,"Starved","b",0
"KN","Metabolism of cofactors and vitamins","X13",2.38827697189225,"Starved","b",0
"KN","Transcription","X13",2.06984004230662,"Starved","b",0
"KN","Translation","X13",21.1066820577849,"Starved","b",0
"KN","Folding, sorting and degradation","X13",9.99778231424039,"Starved","b",0
"KN","Replication and repair","X13",1.38974974269159,"Starved","b",0
"KN","Chromosome","X13",1.05311641712963,"Starved","b",0
"KN","Membrane transport","X13",1.05254777975537,"Starved","b",0
"KN","Signal transduction","X13",11.1083311061703,"Starved","b",0
"KN","Signaling molecules and interaction","X13",0.134767057699634,"Starved","b",0
"KN","Transport and catabolism","X13",13.2236621384177,"Starved","b",0
"KN","Cell motility","X13",9.1618853740781,"Starved","b",0
"KN","Cell growth and death","X13",11.7275772067395,"Starved","b",0
"KN","Carbohydrate metabolism","X14",8.50902447578113,"Starved","c",0
"KN","Energy metabolism","X14",10.886462062947,"Starved","c",0
"KN","Lipid metabolism","X14",1.46030943390071,"Starved","c",0
"KN","Nucleotide metabolism","X14",0.799683552046717,"Starved","c",0
"KN","Amino acid metabolism","X14",3.27743840275342,"Starved","c",0
"KN","Metabolism of other amino acids","X14",0.617807537659753,"Starved","c",0
"KN","Glycan biosynthesis and metabolism","X14",0.604758137524366,"Starved","c",0
"KN","Metabolism of cofactors and vitamins","X14",2.16375365994894,"Starved","c",0
"KN","Transcription","X14",2.66207762761906,"Starved","c",0
"KN","Translation","X14",19.5386221464632,"Starved","c",0
"KN","Folding, sorting and degradation","X14",10.6324065540612,"Starved","c",0
"KN","Replication and repair","X14",1.90398903850389,"Starved","c",0
"KN","Chromosome","X14",0.98115177267945,"Starved","c",0
"KN","Membrane transport","X14",1.08840153004217,"Starved","c",0
"KN","Signal transduction","X14",10.5863258598331,"Starved","c",0
"KN","Signaling molecules and interaction","X14",0.160262945412728,"Starved","c",0
"KN","Transport and catabolism","X14",11.92674392999,"Starved","c",0
"KN","Cell motility","X14",8.35773299296148,"Starved","c",0
"KN","Cell growth and death","X14",11.5511658823433,"Starved","c",0
